name,category,price_aed,cost_usd,image_url,colors,sizes,ae_orders,ae_rating
"Hot Sale 2025 Modern Luxury Velvet Platform Bed King Size Hydraulic Storage For Bedroom Furniture Free Shipping",beds,0,180,https://ae01.alicdn.com/kf/Sbed001.jpg,"Charcoal, Ivory, Sage","King, Queen",250,96
"Nordic Bouclé Fabric L Shape Sectional Sofa Living Room Modern Corner Couch Set",sofas,0,320,https://ae01.alicdn.com/kf/Ssofa001.jpg,"Sand, Graphite, Ocean Blue","3-Seater, 4-Seater",180,95
"Italian Sintered Stone Dining Table Luxury Marble Top Brass Base 6 8 Seater",dining,0,450,https://ae01.alicdn.com/kf/Sdin001.jpg,"White Marble, Black Marble","6-Seater, 8-Seater",80,98
"Cheap Plastic Folding Chair Student Desk Office",chairs,0,8,https://ae01.alicdn.com/kf/Scheap.jpg,White,Standard,5,60
"Modern Luxury Velvet Accent Chair Wingback Design Gold Legs",chairs,0,65,https://ae01.alicdn.com/kf/Schair001.jpg,"Emerald, Navy, Blush Pink",Standard,320,94
"Free Shipping Inflatable Sofa Camping Lazy Bag",sofas,0,12,,Green,One Size,10,70
"Premium Walnut Wood TV Console Cabinet LED Ambient Light Modern Minimalist Design",tv,0,140,https://ae01.alicdn.com/kf/Stv001.jpg,"Walnut, White Gloss","180cm, 220cm",90,92
"Modern Luxury Brass Gold Frame Tempered Glass Coffee Table Living Room",tables,0,95,https://ae01.alicdn.com/kf/Stable001.jpg,"Gold/Glass, Black/Glass",Standard,350,94
"Pet Dog Bed Comfortable Large Size Waterproof",beds,0,20,https://ae01.alicdn.com/kf/Sdog.jpg,Grey,Large,500,98
"European Style Walk In Wardrobe Closet System Sliding Door Modern Bedroom",wardrobes,0,380,https://ae01.alicdn.com/kf/Sward001.jpg,"Matte White, Smoky Grey","2.4m, 3.0m",45,91
"Modern Curved Headboard Upholstered Bed Frame Luxury Bedroom Furniture Linen",beds,0,210,https://ae01.alicdn.com/kf/Sbed002.jpg,"Cream, Blush","King, Super King",120,93
"Simple Modern Oak Wood Nightstand Bedside Table With Drawer",nightstands,0,45,https://ae01.alicdn.com/kf/Sns001.jpg,"Natural Oak, White Oak",Standard,200,90
"Luxury Modern Leather Chaise Lounge Italian Design Living Room Daybed",chaise,0,280,https://ae01.alicdn.com/kf/Schaise001.jpg,"Cognac, Black, Cream",Standard,60,96
